,Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country,region,sub-region,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
25,2019,Intentional self-harm,60-64,GBR,Male,574,3680276.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
26,2019,Intentional self-harm,65-69,GBR,Female,122,3476194.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
27,2019,Intentional self-harm,65-69,GBR,Male,336,3260204.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
28,2019,Intentional self-harm,70-74,GBR,Female,118,3462254.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
29,2019,Intentional self-harm,70-74,GBR,Male,350,3175480.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
30,2019,Intentional self-harm,75-79,GBR,Female,68,2497622.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
31,2019,Intentional self-harm,75-79,GBR,Male,230,2152970.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
32,2019,Intentional self-harm,80-84,GBR,Female,46,1923972.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
33,2019,Intentional self-harm,80-84,GBR,Male,174,1506684.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
34,2019,Intentional self-harm,85-89,GBR,Female,40,,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
35,2019,Intentional self-harm,85-89,GBR,Male,114,,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
36,2019,Intentional self-harm,90-94,GBR,Female,16,,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
37,2019,Intentional self-harm,90-94,GBR,Male,44,,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
38,2019,Intentional self-harm,95+,GBR,Female,2,,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
39,2019,Intentional self-harm,95+,GBR,Male,10,,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
40,2019,Intentional self-harm,All,GBR,Female,2644,67637156.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
41,2019,Intentional self-harm,All,GBR,Male,8726,65956458.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
42,2020,Intentional self-harm,10-14,GBR,Female,16,3939160.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
43,2020,Intentional self-harm,10-14,GBR,Male,20,4144254.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
44,2020,Intentional self-harm,15-19,GBR,Female,104,3580570.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
45,2020,Intentional self-harm,15-19,GBR,Male,256,3786466.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
46,2020,Intentional self-harm,20-24,GBR,Female,174,4008126.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
47,2020,Intentional self-harm,20-24,GBR,Male,554,4269592.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
